,Los Angeles,Long Beach,Glendale,Lancaster,Palmdale,Santa Clarita,Pomona,Pasadena,Torrance,Inglewood,Compton,East Los Angeles,Downey,Norwalk,El Monte,Burbank,West Covina,South Gate,Santa Monica,Hawthorne,Alhambra,Lakewood,Whittier,Carson,Bellflower,Covina,Baldwin Park,Huntington Park,Redondo Beach,Lynwood,Pico Rivera,Rosemead,Arcadia,San Gabriel,Gardena,Florence-Graham,Monterey Park,Azusa,Montebello,South Whittier,Glendora,Hacienda Heights,Paramount,La Mirada,Diamond Bar,Cerritos,Bell Gardens,Monrovia,Rowland Heights,La Puente,Agua Dulce,Altadena,Culver City,Beverly Hills,Bell,West Hollywood,Manhattan Beach,Westmont,Rancho Palos Verdes,Lawndale,San Dimas,Temple City,Walnut,Claremont,Maywood,South Pasadena,San Fernando,La Verne,Cudahy,Agoura Hills,West Carson,South El Monte,Lomita,La Canada Flintridge,Duarte,Hermosa Beach,La Crescenta-Montrose,Willowbrook,El Segundo,Artesia,South San Jose Hills,West Whittier-Los Nietos,Santa Fe Springs,West Puente Valley,Calabasas,Valinda,Hawaiian Gardens,Commerce,Castaic,Malibu,Sierra Madre,View Park-Windsor Hills,San Marino,Littlerock,Avocado Heights,Signal Hill,West Athens,Palos Verdes Estates,Alondra Park,Topanga,Ladera Heights,East La Mirada,La Habra Heights,Acton,Avalon,Pearblossom,Rolling Hills Estates,Rolling Hills,Hidden Hills,Palos Verdes Peninsula,Lake Hughes,East Pasadena,Green Valley
2017-01,645000,584700,850000,235200,265300,544800,374700,828400,794100,477500,342600,399500,522800,440500,459000,756300,524000,395000,2507400,553500,639600,539600,531900,487300,477000,487500,421500,390300,1118200,388000,439400,543500,1194400,742500,494200,315400,626200,424800,504200,475600,583200,623300,412100,541400,717400,692300,409600,677600,610200,421400,624100,738200,1172900,5131200,379000,1602800,2363300,385000,1330900,521300,630600,754400,749300,664600,366500,1161300,426900,640600,396400,904100,537100,432000,654000,1660700,505900,1903600,853500,351700,1223000,538000,392400,450100,453700,428100,1020100,442000,396200,394800,530000,3056000,994000,733100,2335500,230000,491600,599300,448300,2074200,556900,1135900,1035800,546800,856000,555900,665600,195000,1531400,3223500,2944900,1481500,238900,916100,223200
2017-02,647900,586900,853300,236900,267400,546900,377100,830300,797500,483000,345500,402500,524700,442300,460400,759700,526100,396800,2516700,557700,642100,541500,534300,488600,479300,490600,422900,392600,1129700,389400,441300,543800,1195500,739400,498100,317300,629100,427200,507400,477200,586700,625400,415900,542900,719300,694600,412700,681600,613800,423900,624900,740200,1184000,5150000,380900,1603500,2378700,387600,1335400,525600,631000,755700,749300,667000,368800,1161500,428600,641300,398200,899900,538600,431600,657200,1665300,508600,1922500,854100,353400,1227700,539600,394800,452400,454900,430500,1023700,442900,402600,397400,532100,3067500,999000,736000,2354600,230900,494700,603800,449700,2073900,560000,1144200,1046600,549300,855600,558400,659600,193200,1532500,3216800,2961500,1473500,240200,913800,225400
2017-03,650700,588500,855200,238900,269600,548000,379200,831400,799600,488300,348500,404200,525800,443800,461800,761400,527300,398500,2514900,561000,643500,543100,536500,488700,481600,493200,424500,395800,1139900,390700,442500,544900,1195300,737400,500900,319700,631300,428800,509800,478300,588800,627500,418100,544600,720200,694400,413400,685700,619200,425300,625400,742100,1195600,5174600,383100,1599600,2391600,390000,1337300,528300,630500,754800,748100,669500,371400,1153900,428400,640200,400100,897800,540500,431500,658900,1668700,510300,1919200,853600,355500,1232400,541700,396600,454400,456700,431900,1029200,443300,407400,399400,533500,3072700,999400,740500,2365700,232100,499900,607300,451500,2071200,563000,1160300,1058600,550600,854900,559900,650600,191100,1537000,3192300,2966100,1473300,241100,913300,231200
2017-04,653500,590300,856100,241500,272000,549300,382100,834400,801500,493300,352200,405800,526200,445100,462900,763100,528500,400800,2512700,564800,644800,544600,538300,489300,483400,495300,426900,398800,1149500,392000,444300,546600,1192600,739300,504900,322400,634300,430200,511000,479200,590900,630300,421100,546800,720700,694200,414100,689500,623900,427200,630900,745500,1206600,5206400,386700,1597000,2407100,391800,1339700,528900,630100,753400,749700,672700,375000,1148500,427800,639600,403000,904300,543200,433100,658400,1668900,511600,1905900,853900,358000,1233200,545800,398900,456200,458000,433000,1036200,444800,410900,401500,534700,3081800,1000400,743500,2366400,233800,505200,611300,453900,2070200,564800,1179600,1067600,551700,857000,558300,644400,189000,1543900,3172300,2962000,1471300,243400,913200,237500
2017-05,656900,592900,858500,244300,274900,551700,385400,839700,804700,498400,356600,407800,527700,447500,464500,766700,530300,403800,2516000,568900,647700,546700,540600,491000,485400,498000,430000,402000,1157300,393700,447100,547900,1188800,742900,510500,325200,638600,432500,512100,480500,593700,634200,425600,549700,722000,696400,416400,693500,627500,429600,634200,751600,1213600,5230000,392100,1597800,2422600,394800,1342100,529900,630100,753000,755000,676100,379500,1157500,428600,640900,407500,914100,546400,436500,657900,1661800,514200,1899800,853500,361100,1236100,548700,401700,457800,458900,434800,1043900,447500,413400,404900,535900,3095600,1004600,745200,2367200,235500,510000,617800,456400,2074700,566100,1180900,1080500,553500,861300,556700,640500,189800,1549000,3169800,2970400,1470700,246200,910000,243300
2017-06,661200,595900,863600,247400,277800,554800,388600,846500,809800,504800,360700,409900,530800,450400,466900,770900,532000,406400,2524200,573600,652300,550000,543800,493600,488100,501900,434000,406000,1163500,395400,449600,549200,1188200,747100,516400,328400,643900,435700,515600,482600,595900,638200,430900,553400,725500,699600,419600,698100,630100,432100,629200,759900,1221400,5259200,397600,1596700,2432400,398800,1344700,532800,629900,753100,760400,678800,383500,1167700,431900,644100,412000,919300,549600,440500,658900,1653800,517300,1910400,852700,364400,1240900,549300,404700,459800,461800,437800,1052100,450300,415000,408500,538200,3115000,1007900,753400,2373700,236500,516100,624000,459600,2079300,568000,1175000,1097600,556800,867600,557400,637300,194100,1556600,3180900,2993700,1485800,248900,905100,246700
2017-07,665600,599200,868900,250500,280600,558000,391600,853100,815700,513500,364200,411800,534200,453300,469500,774700,533300,408700,2537300,578800,656700,553900,548300,497600,491100,506500,437800,409100,1169300,397500,451900,552500,1193600,751600,522000,331800,649200,439000,520600,485700,597200,642000,435800,557100,730600,702800,421700,703300,632700,434500,623500,769100,1232700,5305500,401800,1595200,2440700,404500,1350700,537800,630200,754200,764500,680400,386600,1164800,435800,646300,414700,931200,552900,444100,659900,1650300,519900,1926700,853300,367700,1240500,550700,407500,462400,465700,440900,1061700,453800,416900,411900,541900,3139200,1010200,764900,2381000,237400,521700,628700,463500,2086800,571800,1181200,1114300,560800,873400,557100,637600,197200,1568800,3204300,3028700,1506700,252000,903100,250400
2017-08,671300,604500,874900,253900,284000,562500,395900,859700,823100,523900,368100,415200,539000,457200,474000,780000,536100,411900,2562300,585200,662500,558800,554200,503600,495800,511700,440900,412100,1176200,400800,455500,557600,1204100,757800,527900,334800,654200,442900,526500,490500,599800,648000,441200,560900,736500,706700,424800,709700,637300,437500,626800,779500,1245600,5374900,405800,1604100,2459000,411600,1359400,544000,633000,758300,770400,682700,390200,1161200,440200,647800,418000,956000,556400,448300,666000,1657000,522700,1942600,858900,372500,1240200,555600,411900,465500,469100,444300,1072800,458200,419800,415700,546800,3168100,1014100,775100,2393800,240200,527200,634600,467400,2094100,577000,1200100,1132900,565500,880700,556800,642400,199500,1579300,3224900,3068000,1516500,254800,907900,253600
2017-09,677400,610500,881800,257600,287400,567400,400300,866200,830800,533200,372100,420600,544500,461500,480000,786500,540600,415900,2596700,590000,670100,563400,559600,510000,501300,517100,443300,415200,1184600,404700,459800,562300,1218900,765000,533500,337500,659600,447200,531900,495500,603200,654900,446500,565000,742700,710200,430400,716100,642900,441300,634300,789500,1254600,5438600,409400,1627000,2487800,418800,1366000,549500,635700,763900,777100,685900,394400,1165200,444200,650200,422200,978400,559500,453300,674900,1666400,525000,1949200,868600,376900,1245000,560800,417400,468200,471700,448500,1082200,462000,420900,420200,551000,3196900,1020400,784500,2415900,244600,533600,640700,470800,2091900,582800,1219800,1152200,570200,887600,559900,651500,201900,1583100,3235600,3105200,1520200,257300,914700,257000
2017-10,683200,615300,888700,261000,290300,571300,404000,872500,837800,540400,375600,425500,549100,464800,484500,793200,544300,419200,2619900,593100,677000,566700,563300,514700,506400,522400,445700,418600,1190300,408700,463300,565500,1228300,772200,539200,341000,665900,450400,536000,499200,605200,661000,450700,568100,748600,713800,436200,721000,646700,445500,640500,797100,1260400,5493700,412900,1659200,2513800,425400,1370700,553000,637400,767500,780400,688900,398500,1172000,448300,654300,425800,991800,561600,458000,680800,1679600,526200,1966400,878400,380900,1254300,564000,422200,470600,474000,452500,1088700,465300,423200,423900,554000,3228400,1027100,795400,2433100,248400,539100,646300,473000,2089000,588900,1242400,1170300,574400,893500,564200,658400,206200,1580200,3248000,3133400,1523000,259000,921000,260300
2017-11,688500,618900,894700,264100,293500,574700,407200,879300,844400,547400,379000,428000,552900,467700,487300,800400,547000,421900,2626900,596600,682500,570000,566800,518200,510600,527300,447700,422700,1192200,412700,466500,569300,1232600,779400,544700,344800,671900,452100,539800,502700,606500,666800,453600,570800,753200,720200,440300,725600,650600,448800,648200,802100,1266300,5570100,417700,1693100,2529300,432300,1375500,555600,638200,769700,781500,691900,402000,1183300,453100,659000,429100,1006100,564100,462300,684300,1702500,528700,1992700,887400,385500,1268400,565800,426300,472600,477400,455500,1096200,469700,427200,426900,556700,3267200,1034300,807300,2442300,251000,542800,651600,475000,2091000,594800,1260800,1187800,578100,901600,568700,660300,211100,1577800,3264100,3161800,1525200,260700,928800,265900
2017-12,693800,621700,900400,266900,297000,578100,410400,885600,850800,553900,381700,428700,556700,471100,490200,807700,550300,424500,2631800,598800,687600,573800,570200,522300,514100,532200,448900,427100,1193900,415900,469500,573800,1236700,786300,550000,348100,677200,454000,544500,506100,608500,673300,455200,573900,756400,727300,442400,731300,655500,452300,657200,805900,1275100,5657400,421600,1717400,2535500,440100,1380500,558400,639000,770600,783400,694700,405100,1192700,458200,663700,431600,1017300,568000,466500,689400,1731800,533300,2000200,895600,389500,1283400,567900,430600,474900,481300,458700,1105400,474300,432100,429300,559500,3299600,1040400,818300,2445500,253000,546600,659100,477200,2095800,600500,1256600,1203800,582500,910500,573700,657300,214000,1576800,3281100,3185400,1528500,262600,939900,271100
